Treatment,Replicate,DOC
Grasses,1,49.56566667
Grasses,2,65.35566667
Grasses,3,45.67466667
Grasses,4,48.53666667
Grasses,5,42.13966667
Grasses,6,58.719
Grasses,7,45.143
Grasses,8,44.668
Grasses,9,65.232
Grasses,10,63.099
CTL,1,50.87
CTL,2,45.728
CTL,3,55.84533333
CTL,4,47.96166667
CTL,5,48.43366667
CTL,6,111.971
CTL,7,58.72666667
CTL,8,51.58833333
CTL,9,50.013
CTL,10,53.33366667
Forbs,1,65.76366667
Forbs,2,62.44933333
Forbs,3,66.36966667
Forbs,4,57.57333333
Forbs,5,58.704
Forbs,6,55.19766667
Forbs,7,60.75133333
Forbs,8,75.36533333
Forbs,9,67.95633333
Forbs,10,72.82733333
