SampleID,Species,Treatment,Replicate,F700,F735,Chl50,SFW,LFW,SDW,LDW,LA,SLA,SDMC,LDMC,Nleaf,Cleaf,CNleaf,Nshoot,Cshoot,CNshoot,Nroot,Croot,CNroot,RDWns,RDWs,RDW,PDW,SMF,RMF,Nuptake,TRLs,TPSAs,TSAs,TRVs,SRL,SRA,RTD,TRL,TSA,TRV,RLD,RSD,D
1,Dd,Forbs,1,456,649,473,1.5000,0.1300,0.28663,0.02792,7.0582,252.8008596,19.10866667,21.47692308,3.6,45.51,12.6581,3.059418,43.998783,14.38142255,1.644851,46.353756,28.18112765,0.04086,0.02534,0.0662,0.35283,0.812374231,0.187625769,0.009858101,1476.162867,25.88060812,81.32258669,0.472890765,58254.2568,3209.257565,0.053585314,3856.4318,212.4528508,1.235413127,2.111956079,0.116348768,0.175323528
2,Dd,Forbs,2,488,620,438,1.4600,0.0793,0.32196,0.01848,5.6679,306.7045455,22.05205479,23.30390921,2.31,42.53,18.4318,2.158225,43.440075,20.12768595,1.1633835,46.0879595,39.61544882,0.04103,0.03042,0.07145,0.39341,0.818382858,0.181617142,0.007779859,1577.61561,27.35197438,85.94093173,0.484182639,51861.13116,2825.145685,0.062827531,3705.477822,201.8566592,1.137240288,2.029286868,0.110545816,0.173375404
3,Dd,Forbs,3,470,637,456,1.4900,0.0642,0.33345,0.01547,4.3084,278.5003232,22.37919463,24.09657321,2.63,45.53,17.3048,2.275105,43.678848,19.19860754,1.261441,46.691837,37.01468162,0.09721,0.02176,0.11897,0.45242,0.737036382,0.262963618,0.009087074,1415.352171,23.42372843,73.59912001,0.399002415,65043.75785,3382.3125,0.054536011,7738.255872,402.3937182,2.181494362,4.237818112,0.220368958,0.165497527
4,Dd,Forbs,4,564,742,440,1.3400,0.0895,0.27453,0.01999,5.7224,286.2631316,20.48731343,22.33519553,2.83,45.99,16.2674,2.32995,43.819351,18.806992,1.365323,47.004051,34.42705572,0.04926,0.02097,0.07023,0.34476,0.796293073,0.203706927,0.007355278,1418.74389,22.64935785,71.16437726,0.37049682,67655.88412,3393.627909,0.056599676,4751.472741,238.3344881,1.240819822,2.602120888,0.130522721,0.159643738
5,Dd,Forbs,5,544,721,402,1.3500,0.0617,0.31531,0.01604,4.0336,251.4713217,23.3562963,25.99675851,2.49,45.46,18.2888,2.12934,43.930702,20.63113547,1.099583,47.362698,43.07332689,0.04365,0.02214,0.06579,0.3811,0.827368145,0.172631855,0.007437438,1479.811749,25.01950459,78.61433655,0.440818147,66838.83238,3550.783042,0.050224793,4397.326783,233.6060163,1.309910835,2.40817458,0.127933196,0.169072212
6,Dd,Forbs,6,436,612,475,1.3400,0.1321,0.26542,0.02870,7.2061,251.0836237,19.80746269,21.72596518,3.85,44.84,11.6383,3.430548,44.439152,12.95395138,2.029799,46.980824,23.14555481,0.03456,0.01819,0.05275,0.31817,0.834208128,0.165791872,0.010176079,1446.998938,20.70638953,65.06306755,0.316501857,79549.14445,3576.859129,0.057472017,4196.21737,188.679319,0.917837986,2.29803799,0.103329309,0.143098858
7,Dd,Forbs,7,580,745,444,1.9400,0.0743,0.41676,0.01742,4.693,269.4029851,21.48247423,23.44549125,2.92,45.98,15.7397,2.485415,43.866631,17.64962028,1.070313,46.276154,43.23609449,0.05108,0.04493,0.09601,0.51277,0.812762057,0.187237943,0.011385823,1752.73751,31.0347676,97.51223715,0.62102269,39010.40529,2170.314648,0.072348403,3745.389012,208.3719094,1.327050711,2.051144037,0.114113861,0.177064549
8,Dd,Forbs,8,819,977,410,2.0000,0.0988,0.47524,0.02589,6.1165,236.2495172,23.762,26.20445344,2.01,45.48,22.6575,1.930166,43.867603,22.72737319,1.21124,46.492455,38.38418067,0.06575,0.02147,0.08722,0.56246,0.844931195,0.155068805,0.010229364,1641.257654,25.60179938,80.43947835,0.392340038,76444.23167,3746.598898,0.054722939,6667.465886,326.7783559,1.593847141,3.651405195,0.178958574,0.155988911
9,Dd,Forbs,9,474,645,454,1.6200,0.0869,0.37878,0.02187,5.1301,234.5724737,23.38148148,25.16685846,2.48,45.95,18.5461,2.060484,44.199484,21.45102025,1.112518,46.126755,41.46158085,0.05199,0.02194,0.07393,0.45271,0.836694573,0.163305427,0.008627186,1488.821747,25.18678158,79.14401197,0.39193749,67858.78516,3607.293162,0.055978314,5016.799987,266.6871835,1.320690002,2.747426061,0.146049936,0.16917258
10,Dd,Forbs,10,440,618,449,0.7400,0.0226,0.1612,0.00538,1.5394,286.133829,21.78378378,23.80530973,3.4,44.84,13.1893,2.680753,43.964458,16.40004059,1.576076,46.296387,29.37446354,0.01902,0.02392,0.04294,0.20414,0.789654159,0.210345841,0.004998141,1553.374107,24.14253072,75.85603361,0.356176465,64940.3891,3171.238863,0.067157722,2788.540308,136.1729968,0.63939036,1.527130508,0.074574478,0.155419938
11,Dd,Grasses,1,604,781,461,1.4600,0.1559,0.29153,0.03321,8.2349,247.9644685,19.96780822,21.30211674,3.26,44.33,13.5775,3.034369,43.833511,14.44567586,1.847325,46.805088,25.33668304,0.04835,0.02472,0.07307,0.3646,0.79958859,0.20041141,0.010195936,1756.121087,24.75004778,77.76348768,0.371034451,71040.49706,3145.772155,0.066624541,5190.92912,229.8615714,1.096743015,2.842787032,0.125882569,0.140935884
12,Dd,Grasses,2,468,679,499,1.2120,0.0656,0.24301,0.01394,4.0668,291.7360115,20.05033003,21.25,3.49,45.77,13.0987,2.877773,43.866123,15.24307963,1.427988,46.880367,32.82966453,0.0445,0.02231,0.06681,0.30982,0.78435866,0.21564134,0.007947315,1352.910554,21.61678635,67.92273915,0.360059252,60641.44124,3044.497497,0.061962024,4051.454689,203.4028778,1.078241086,2.218759414,0.111392595,0.159779863
13,Dd,Grasses,3,499,662,454,1.7225,0.0728,0.38525,0.01599,4.5573,285.0093809,22.36574746,21.97636064,2.46,46.29,18.8361,2.124593,43.980938,20.70087683,1.04171,46.209087,44.35887819,0.07249,0.03461,0.1071,0.49235,0.782471819,0.217528181,0.009300666,1537.676245,26.59731012,83.57076097,0.550889515,44428.66932,2414.642039,0.062825665,4758.310485,258.6081624,1.704717338,2.605865545,0.1416255,0.172970807
14,Dd,Grasses,4,464,669,521,1.7050,0.0708,0.34777,0.01524,4.469,293.2414698,20.39706745,21.52542373,3.3,45.68,13.828,2.889877,43.528725,15.06248363,0.950366,46.782753,49.22603818,0.06321,0.02734,0.09055,0.43832,0.793415769,0.206584231,0.010910682,1656.022112,27.04116833,84.96630811,0.457445548,60571.40131,3107.765476,0.059766676,5484.740389,281.4081638,1.515058316,3.003691341,0.154111809,0.163289899
15,Dd,Grasses,5,550,702,439,1.8000,0.1158,0.37132,0.03183,6.8913,216.5032988,20.62888889,27.48704663,2.8,45.55,16.2513,2.274586,44.455589,19.54447491,1.1708035,46.4500635,39.673663,0.08514,0.02772,0.11286,0.48418,0.76690487,0.23309513,0.009767362,1944.220239,30.56361065,96.03206455,0.459570257,70137.81525,3464.360193,0.060317219,7915.753829,390.9876914,1.871107475,4.335024003,0.214122503,0.15720241
16,Dd,Grasses,6,535,671,431,2.0560,0.0855,0.41863,0.01786,5.2923,296.3213886,20.36138132,20.88888889,3.24,46.04,14.2107,2.773509,44.441063,16.02340681,1.232107,45.801159,37.17303692,0.05198,0.02688,0.07886,0.49749,0.841484251,0.158515749,0.01258238,1593.955366,26.07514031,81.9310227,0.434928976,59298.93474,3048.029118,0.061803194,4676.313994,240.3675763,1.275985828,2.560960566,0.131636132,0.163587644
17,Dd,Grasses,7,651,829,459,1.5200,0.0987,0.34698,0.02466,5.8805,238.4630981,22.82763158,24.98480243,2.23,44.14,19.809,2.103849,43.535515,20.69326981,1.111503,46.395325,41.74107042,0.07226,0.02801,0.10027,0.44725,0.775807714,0.224192286,0.008414439,1973.924946,29.7717888,93.54227702,0.443097745,70472.15087,3339.602893,0.063214043,7066.242568,334.861982,1.586198175,3.869793301,0.183385532,0.150825333
18,Dd,Grasses,8,538,679,413,1.6500,0.1634,0.35475,0.03864,8.0606,208.6076605,21.5,23.64749082,2.75,45.18,16.4298,2.49708,44.278942,17.73228811,1.260882,46.411549,36.80879654,0.06063,0.02471,0.08534,0.44009,0.806085119,0.193914881,0.009934428,1516.724779,24.69772151,77.60123136,0.42887901,61381.01089,3140.478809,0.057615317,5238.255469,268.0084615,1.481203347,2.868705076,0.146773528,0.162835881
19,Dd,Grasses,9,546,704,430,1.4567,0.0590,0.33683,0.01375,3.7969,276.1381818,23.12281183,23.30508475,2.33,45.91,19.6657,2.08124,43.8792435,21.0832213,1.088436,46.598354,42.81221312,0.06122,0.0281,0.08932,0.42615,0.79040244,0.20959756,0.007982432,1482.457692,25.29654036,79.48528716,0.46047309,52756.50151,2828.657906,0.061024196,4712.210714,252.6557242,1.463681722,2.58061923,0.138365676,0.170639206
20,Dd,Grasses,10,505,658,439,1.6794,0.0676,0.34918,0.01448,4.1245,284.8411602,20.79194951,21.42011834,2.68,45.48,16.9586,2.360955,43.855194,18.57519267,1.330504,46.376125,34.85605831,0.06232,0.03108,0.0934,0.44258,0.788964707,0.211035293,0.009486673,2098.822501,33.8743129,106.4362291,0.53982082,67529.68149,3424.589097,0.05757466,6307.272251,319.8566216,1.62224146,3.454146907,0.17516792,0.161396749
21,Dd,Soil,1,562,690,427,1.6242,0.0669,0.3686,0.01592,4.1666,261.7211055,22.69424948,23.79671151,2.53,45.86,18.1367,2.254294,44.127567,19.5748944,1.199343,46.471996,38.7478778,0.08373,0.02578,0.10951,0.47811,0.770952291,0.229047709,0.009622728,1772.804771,28.06996072,88.19751207,0.431843343,68766.6707,3421.160282,0.059697574,7530.638109,374.6512625,1.834412897,4.124117256,0.205175938,0.158336446
