PC,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,Forbs,Grasses,Mix,CTL,Tap,Forbs_1,Forbs_2,Forbs_3,Forbs_4,Forbs_5,Forbs_6,Forbs_7,Forbs_8,Forbs_9,Forbs_10,Grasses_1,Grasses_2,Grasses_3,Grasses_4,Grasses_5,Grasses_6,Grasses_7,Grasses_8,Grasses_9,Grasses_10,CTL_1,CTL_2,CTL_3,CTL_4,CTL_5,CTL_6,CTL_7,CTL_8,CTL_9,CTL_10,Tap_1,Tap_2,Tap_3,Tap_4,Tap_5
1,251.1326235,251.1316446,251.1333499,1141.987892,1135.912926,1144.555317,34,10,10,4,10,0,17856443.73,14401891.44,10722325.17,11209321.15,7252551.354,9226558.009,6302099.918,21993155.18,11995087.48,8919929.304,4576197.809,4867302.214,4010671.784,4637963.503,4315835.113,6310455.691,2455993.313,8056251.407,6282582.026,6424439.736,8559057.268,4779198.728,13943404.26,6963110.038,6991947.706,5176543.614,7007080.258,3670723.742,4460085.361,6338886.267,NA,NA,NA,NA,NA
2,186.1136084,186.1131021,186.1140596,553.6860768,553.195465,554.0270948,39,10,10,4,10,5,1259930.147,1459677.261,1259591.744,1127699.527,1066555.137,1279028.837,1374598.111,854562.6662,954492.5773,820964.48,1775487.409,1097577.403,2871437.712,1318237.124,1696788.366,1911525.498,1319356.747,1264262.123,1662784.657,2617722.69,1408115.28,1646477.977,1012254.54,1598817.488,4779765.619,3127929.164,1273882.71,2490786.355,1237491.873,1566124.816,2118687.542,2333923.061,5528744.021,2305664.768,3616755.542
3,99.92577611,99.92530171,99.9260805,1279.156128,1274.618915,1283.235014,18,4,1,1,6,1,NA,NA,NA,22535.71247,21968.11825,NA,NA,33702.15793,15240.01818,NA,NA,62355.90443,NA,NA,NA,NA,NA,NA,NA,NA,29788.94311,33496.76324,NA,58468.29395,27984.01347,NA,NA,23549.16311,NA,16845.337,NA,NA,38605.8816,NA,NA
4,116.928031,116.927457,116.9284352,1201.330733,1197.273648,1205.59752,33,7,8,4,8,0,41625.241,43209.1112,90803.16364,29658.52233,NA,NA,86301.33247,66600.6109,NA,164446.3392,128443.2864,72382.78118,NA,119225.9652,94791.0697,67789.02094,148495.0437,84161.22273,99256.02008,NA,NA,209204.6978,98826.11509,100763.342,123930.8928,49978.93689,67380.515,115236.612,13836.867,NA,NA,NA,NA,NA,NA
5,251.1325984,251.1317845,251.1331869,1164.555029,1159.147804,1168.179925,34,10,10,4,10,0,15448264.7,8470292.433,7657356.221,7920043.182,5285282.43,6082078.517,3475830.758,15466199.57,6621324.196,3386890.089,3724959.278,4024536.859,3009592.607,3472146.493,3445877.408,4966682.807,1955449.786,6833853.041,3558328.903,5304442.754,3529969.872,2083883.531,8309009.28,2674537.021,3006274.246,2398050.283,2867643.78,2487875.314,1967694.365,2288424.352,NA,NA,NA,NA,NA
6,116.9279873,116.92751,116.9283301,1214.996149,1206.607416,1224.310557,76,9,10,4,8,3,167813.9593,103560.3563,93235.638,77741.13859,122983.3865,NA,63732.227,67703.16176,76381.84514,89151.91118,102985.8104,92069.50455,130492.7534,62280.35071,110418.9519,84651.6528,8795.892,128679.5543,50811.31567,48465.67662,NA,144448.9559,75411.65671,100272.3722,121899.1488,85542.64733,154883.7774,135787.9594,116843.9043,NA,109679.7735,97884.7584,112505.7648,NA,NA
7,283.0614476,283.0606687,283.062205,944.9085349,944.5958799,945.3977667,39,10,10,4,10,5,1230255.668,1020378.968,1258132.422,1336161.936,1088864.818,1266812.847,1420379.482,1209045.726,1281599.824,1288556.84,1617197.667,1374099.772,1462919.573,1548904.7,1670852.011,1200055.49,1316966.317,1492261.596,1191663.408,668500.9875,1345537.288,1758532.875,1034131.325,1493143.642,1013136.037,1518188.551,1362455.075,1487968.746,1310825.509,1164088.594,2422105.638,2399083.315,2219339.866,2416077.206,2423585.677
8,447.1347352,447.1332667,447.1358524,1017.200915,1016.685419,1018.215356,39,10,10,4,10,5,573015.8412,972296.0678,883396.417,1207719.127,1207984.397,1179249.952,913766.6788,1507168.143,1516542.098,1396620.41,1434683.182,1108399.242,1086836.798,1115540.604,1671877.8,1617435.145,1356488.188,1418702.776,1483529.743,1378081.161,1498833.841,1377929.47,1832420.416,1282049.09,1310737.221,1786865.736,1623488.996,1488611.728,1111103.9,1450424.041,2908018.055,1981459.972,2011603.3,1644933.266,1462962.228
9,279.0874397,279.0865957,279.0883972,806.0098914,805.5158897,806.4902345,34,9,10,4,10,1,864983.844,1843497.573,849168.1176,739688.7777,521019.7659,NA,288314.9061,951909.5914,547527.1183,372508.9363,279983.867,130546.1537,77408.67105,257571.6818,248256.3545,175979.3865,119799.6144,514832.6716,71319.7753,394896.9827,190094.5775,35811.23981,366654.7682,58476.22524,149793.9922,315830.2273,304054.9727,19482.0912,118365.0036,30294.10971,NA,NA,NA,NA,2198.049846
10,295.1585432,295.1578103,295.1595569,1419.075144,1413.086143,1423.981196,36,10,10,4,10,0,2001118.745,1587706.349,1419730.429,1590819.426,1179684.742,1278805.922,889818.2436,2736240.793,1712622.912,1124652.122,680795.3766,863368.5934,657319.8634,772783.578,413121.2437,1147475.531,357282.5896,946571.716,940547.1202,985434.8106,951886.3331,565625.4676,1603927.782,740539.4064,742230.4093,634671.0182,1041851.881,821698.712,890814.0216,856794.0742,NA,NA,NA,NA,NA
