PC,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,Forbs,Grasses,Mix,CTL,Tap,Forbs_1,Forbs_2,Forbs_3,Forbs_4,Forbs_5,Forbs_6,Forbs_7,Forbs_8,Forbs_9,Forbs_10,Grasses_1,Grasses_2,Grasses_3,Grasses_4,Grasses_5,Grasses_6,Grasses_7,Grasses_8,Grasses_9,Grasses_10,CTL_1,CTL_2,CTL_3,CTL_4,CTL_5,CTL_6,CTL_7,CTL_8,CTL_9,CTL_10,Tap_1,Tap_2,Tap_3,Tap_4,Tap_5
1,415.2540368,415.2458492,415.2552159,546.7377684,540.704978,556.5082641,41,10,10,4,10,5,6670282.417,9074027.382,28975327.06,1590586.665,12352761.17,15170224.3,3806120.244,33697630.54,24563953.13,12134033.84,13365519.57,22079550.32,27936165.32,32922834.52,36806486.41,36430894.09,29112700.77,35730089.83,29823764.34,32717364.01,13071061.85,20784270.4,31712069.51,4862499.474,24760006.03,7067041.034,25856747.03,2341159.405,4188534.384,14883382.45,148939.5364,77217.28182,41681.52,43963.99467,90700.55264
2,459.2802166,459.2766328,459.2816578,571.1461176,567.2012513,571.853376,40,10,10,4,10,5,5082757.144,7168920.773,26080224.46,1306135.599,10023219.81,12264266.99,2834404.527,32166508.55,21891340.1,9897225.372,10468663.21,19485757.46,25961044.14,30291359.94,33576219.42,33687692.67,26457445.87,33414555.27,27641338.3,31068609.72,11054132.71,17840840.92,29432945.86,3647485.305,22027052.97,5400629.99,23573261.63,1692032.222,3180814.335,12362646.97,120733.7231,57328.59629,36096.17304,33531.93164,66014.30661
3,371.2277221,371.2267758,371.2287401,515.8537136,515.3937775,516.5433308,39,10,10,4,10,5,6640379.258,8283029.729,27193638.7,1419987.413,10927738.23,12550985.22,3401344.217,32195946.98,22519271.17,10637799.95,12778559.87,20855227.54,27111387.96,32318167.57,36146565.15,35408309.28,27960869.82,34596628.93,28973051.01,31936155.79,11974905.98,18524570.26,30955917.89,4664175.166,23541282.16,6182689.454,24564675.22,2158761.197,4118872.825,14131458.98,186840.6835,96181.87648,49476.39733,57755.0688,104738.9463
4,124.0851575,124.0828859,124.1117531,591.0692306,590.6754556,593.408347,27,4,8,1,7,2,12386.92607,NA,6138.139429,NA,NA,NA,NA,3108.0192,3477.966667,NA,21771.59238,13281.14017,NA,4774.5984,6409.346667,4425.9072,6451.085714,NA,7877.8128,4131.4416,16674.7152,6491.06,6748.295,15586.87461,7092.076571,NA,5685.4512,NA,15030.1008,NA,NA,NA,35685.41818,21675.1392,NA
5,327.2014506,327.2004676,327.2023742,474.8620257,474.4391063,475.5268615,39,10,10,4,10,5,5810217.976,6558556.118,23795110.31,1183648.408,8646931.465,9037753.777,2810488.425,28010285.39,17671665.21,7800527.677,10333380.34,16609927.28,23351279.95,29148378.79,32154005.06,31920213.57,24526727.66,31545217.4,24642013.97,27862250.76,9136505.797,14962773.91,27467058.78,3611325.471,18888174.68,4848261.82,19647797.77,1926374.835,3210234.257,10779172.4,190966.6926,112512.9991,57552.06504,60322.42409,101205.2733
6,547.3325801,547.3311051,547.3338293,608.8850181,608.2981033,609.7042343,39,10,10,4,10,5,1727848.033,2352675.856,13104929.03,550825.3504,3187816.471,4551648.824,978741.532,21614276.51,9158716.182,3747498.656,3183915.565,7130328.668,13102281.52,17860671.49,23362201.26,22517667.06,14451398.22,21463662.97,14525506.07,19573543.77,3540244.753,5972107.54,17278460.43,1147008.428,9597556.09,1785873.612,10267469.24,552209.4864,1049825.556,3909098.3,40736.35911,22361.5392,22121.5,16306.35229,24533.73053
7,282.2790795,282.2781991,282.2798347,1217.054345,1216.877823,1217.219508,39,10,10,4,10,5,13002960.46,10928557.81,9522133.381,12387228.24,14720548.63,14894600.33,12952392.15,13362152.69,13299320.65,13751333.78,14858692.72,14828553.54,14291334.34,12996196.61,14531347.48,12429525.49,11712044.09,12046148.48,11664830.66,10549529.51,13361535.6,15840249.36,12752744.64,12069988.47,12994026.96,11728292.26,12476367.47,11355857.68,11941121.93,11466065.17,12192491.83,11838034.6,11601123.85,11942481.69,12509433.74
8,285.0755964,285.0747012,285.0764063,944.0444798,943.867874,944.3410573,39,10,10,4,10,5,7293383.695,5085620.263,6317892.824,10019103.49,8188398.268,6891976.151,7693318.188,6284340.212,7875541.907,9313976.79,11392298.75,11845372.97,9285145.377,9628782.41,11113390.6,6082970.274,8843501.979,8596965.823,9042434.544,4050679.72,11219803.03,13991730.63,8685487.25,10985967.64,5506450.09,11061626.07,10586402.44,11613760.33,10451732.98,8261327.073,16565084.64,14936970.73,13709925.7,17494113.32,17508592.36
9,170.1174641,170.1170279,170.1177786,552.2032211,551.8682486,552.5982104,39,10,10,4,10,5,4846564.998,5209770.708,4900177.339,4319034.72,4474297.215,4919792.614,5214974.107,3247922.879,3734912.438,3283532.47,6452721.652,4337328.261,9659465.587,4929071.671,5846288.315,6645280.747,4876278.264,4529296.886,5891912.233,9177003.264,5498840.318,5940915.657,3882034.042,5908342.441,16141883.4,11086071.11,4570516.358,9287130.653,4912809.003,5999153.846,8330585.79,8570727.099,18862202.03,8799578.674,13379890.93
10,591.3587032,591.3574661,591.3603951,624.2834337,623.6664004,625.3391563,39,10,10,4,10,5,859436.2245,968250.7823,5286085.827,313055.5361,1371327.146,1746683.837,451196.1383,10412493.29,3805996.364,1548817.215,1212725.703,2802744.107,5422111.967,7277161.467,11601661.95,10888809.25,5695111.908,9485535.721,5734671.121,8267644.299,1363231.602,2243658.689,7091558.507,458442.5905,3630911.884,703986.2336,3581560.625,260285.5636,434445.2603,1523021.612,18062.75035,12273.699,12789.6912,8132.030211,11061.70725
